Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200810,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200811,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200812,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200901,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200902,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200903,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200904,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200905,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200906,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200907,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200908,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200909,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200910,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200911,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200912,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201001,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201002,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201003,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201004,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201005,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201006,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201007,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201008,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201009,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201010,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201011,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201012,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201101,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201102,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201102-old,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201103,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201103-old,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\201104,10.64.194.153,UK\sumanan
